信号标准名,信号ID,单位,告警时,正常时,A告警级别,A告警门限,A告警延时（秒）,A绝对阀值,A百分比阀值,B告警级别,B告警门限,B告警延时（秒）,B绝对阀值,B百分比阀值,C告警级别,C告警门限,C告警延时（秒）,C绝对阀值,C百分比阀值,D告警级别,D告警门限,D告警延时（秒）,D绝对阀值,D百分比阀值
非法进入告警,17001001,,有告警,正常,一级告警,,0,,,三级告警,,0,,,三级告警,,0,,,三级告警,,0,,
长时间门开告警,17002001,,有告警,正常,二级告警,,30,,,四级告警,,30,,,四级告警,,30,,,四级告警,,30,,
设备故障告警,17003001,,有告警,正常,二级告警,,180,,,三级告警,,180,,,三级告警,,180,,,三级告警,,180,,
门磁开关状态,17005001,,开,正常,,,0,,,三级告警,,0,,,三级告警,,0,,,三级告警,,0,,
门锁开关状态,17006001,,开,正常,,,0,,,三级告警,,0,,,三级告警,,0,,,三级告警,,0,,
门磁开关状态,17101001,,,,,,,,,,,,,,,,,,,,,,,
门锁开关状态,17102001,,,,,,,,,,,,,,,,,,,,,,,
设备系统时间,17103001,,,,,,,,,,,,,,,,,,,,,,,
远程开门,17201001,,,,,,,,,,,,,,,,,,,,,,,
时钟同步,17202001,,,,,,,,,,,,,,,,,,,,,,,
