信号标准名,信号ID,单位,告警时,正常时,关联ID,比较逻辑,回差,A告警级别,A告警门限,A告警延时（秒）,A绝对阀值,A百分比阀值,告警级别,告警门限,告警延时（秒）,绝对阀值,百分比阀值,告警级别,告警门限,告警延时（秒）,绝对阀值,百分比阀值,告警级别,告警门限,告警延时（秒）,绝对阀值,百分比阀值
工作异常告警,15001001,,有告警,正常,,,,三级告警,,300,,,三级告警,,300,,,四级告警,,300,,,四级告警,,300,,
压缩机电流异常告警,15002001,,有告警,正常,,,,三级告警,,300,,,三级告警,,300,,,三级告警,,300,,,三级告警,,300,,
交流输入异常告警,15003001,,有告警,正常,,,,三级告警,,180,,,三级告警,,180,,,四级告警,,180,,,四级告警,,180,,
设备系统时间,15103001,,,,,,,,,,,,,,,,,,,,,,,,,,
普通空调工作电流,15101001,A,,,,,,,,,5,,,,,5,,,,,5,,,,,5,
普通空调工作电压,15104001,,,,,,,,,,,,,,,,,,,,,,,,,,
回风温度,15102001,℃,,,,,,,,,3,,,,,3,,,,,3,,,,,3,
远程开机,15201001,,,,,,,,,,,,,,,,,,,,,,,,,,
远程关机,15202001,,,,,,,,,,,,,,,,,,,,,,,,,,
遥控制热运行,15203001,,,,,,,,,,,,,,,,,,,,,,,,,,
遥控制冷运行,15204001,,,,,,,,,,,,,,,,,,,,,,,,,,
时钟同步,15205001,,,,,,,,,,,,,,,,,,,,,,,,,,
运行温度设定,15301001,℃,,,,,,,,,,,,,,,,,,,,,,,,,
运行模式设定,15302001,,,,,,,,,,,,,,,,,,,,,,,,,,

